Database,ParentGlobalID,SiteName,Assessors,Recorder,QA,CollectionDate,CreationDate,Creator,EditDate,Lat_field,Long_field,Weather,PctCloudCover,Disturbances,Disturbances_details,Bankwidth_0,Bankwidth_15,Bankwidth_30,ReachLength_targ,ReachLength_actual,Slope,Landuse,Lanuse_Notes,Riparian_yn,ErosionDeposition_yn,FloodplainConnectivity_yn,SurfaceFlow_pct,SurfaceSubsurfaceFlow_pct,IsolatedPools_number,SeepsSprings_yn,WaterInChannel_score,WaterInChannel_notes,HydricSoils_score,HydricSoils_locations,HydricSoils_notes,WoodyJams_number,WoodyJams_source,WoodyJams_notes,UplandRootedPlants_score,UplandRootedPlants_notes,SedimentOnPlantsDebris_score,SedimentOnPlantsDebris_notes,SoilMoisture1,SoilMoisture2,SoilMoisture3,SoilTexture1,SoilTexture2,SoilTexture3,Sinuosity_score,Sinuousity_method,Sinuosiy_notes,ChannelDimensions_score,ChannelDimensions_method,RifflePoolSeq_score,RifflePoolSeq_notes,SubstrateSorting_score,SubstrateSorting_notes,Fish_score,BMI_score,Algae_score,Mosquitofish,Vertebrate_notes,IOFB_yn,Snakes_yn,Snakes_abundance,Turtles_yn,Turtles_abundance,Amphibians_yn,Amphibians_abundance,FrogVocalizations_yn,BiologicalIndicators_notes,AlgalCover_Live,AlgalCover_Dead,AlgalCover_Upstream,AlgalCover_notes,dens_UU,dens_UL,dens_UR,dens_UD,dens_MU,dens_ML,dens_MR,dens_MD,dens_DU,dens_DL,dens_DR,dens_DD,Moss_cover,Liverwort_cover,Bryophyte_notes,DifferencesInVegetation_score,DifferencesInVegetation_notes,NWPL_checklist,Additional_notes,PctCover,SiteCode_Original,SiteCode,CalcTime
FlowDuration004,aeb37e53-6d67-499b-a44c-3d8b3d12fac7,Trib to Hoback,"M. Rodenbeck, J. Turner",Not recorded,Not recorded,2019-08-06T18:00:00Z,2019-08-08T03:13:45Z,mrodenbeck1,2019-08-08T03:13:45Z,43.1554962,-110.3747466,cloudy,50,other,Cows trampled channel,3.75,3.25,3.5,122.5,130,0.5,"developed,other_natural,agricultural",NA,no,yes,yes,0,0,0,notdectected,0,NA,0,3,NA,0,no,NA,0,NA,0,NA,partiallydry,partiallydry,partiallydry,slityclayloam,slityclayloam,slityclayloam,1,visual estimate,NA,3,visual estimate,0,NA,0,NA,0,0,0,NA,NA,notdectected,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,notdetected,notdetected,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,notdetected,notdetected,NA,0,NA,westmountains,"Reach shortened from 140 to 130, had to move down, could not determine channel at top of reach, very overgrown with grasses, braided and stomped down by cattle",NA,Prosper 1,WYWM1521,2021-08-05T23:09:55Z
FlowDuration004,0a373deb-b4d1-4fab-8b02-dd28649dfbb0,Trib to fisherman’s creek,"M.Rodenbeck, J.Turner",Not recorded,Not recorded,2019-08-06T18:00:00Z,2019-08-08T03:13:54Z,mrodenbeck1,2019-08-08T03:13:54Z,43.13794479,-110.2898412,cloudy,100,other,Recent fire,0.95,0.82,1.23,35,40,3,other_natural,NA,yes,yes,yes,0,100,4,notdectected,3,NA,0,3,NA,3,NA,NA,3,NA,0,NA,saturated,saturated,saturated,NA,NA,NA,2.5,visual estimate,NA,3,visual estimate,0,NA,0,NA,0,3,3,NA,NA,present,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,10-40%,notdetected,NA,Biofilm not algae,0,0,0,0,0,0,0,0,0,0,0,0,notdetected,<2%,NA,2,NA,aridwest,NA,NA,Prosper-3,WYWM1523,2021-08-05T23:09:55Z
FlowDuration004,91c3d3d4-6344-4771-b8cb-fd442d460e75,Little sourdough creek,"M. Rodenbeck, J. Turner",Not recorded,Not recorded,2019-08-09T18:00:00Z,2019-08-10T06:34:04Z,mrodenbeck1,2019-08-10T06:34:04Z,44.26499376,-106.9190921,cloudy,40,NA,None,1.34,3.97,1,73.61666667,84,8.33,forested,NA,yes,no,yes,100,NA,NA,notdectected,6,NA,0,3,NA,1,yes,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,2,visual estimate,NA,2.25,visual estimate,3,NA,3,NA,0,2,3,NA,NA,notdectected,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,>40%,notdetected,NA,NA,10,9,7,5,0,0,0,0,0,0,0,0,>10%,2-10%,NA,2,NA,westmountains,NA,NA,USGS6317340,WYWM1500,2021-08-05T23:09:55Z
FlowDuration004,d1a681fd-b544-45de-bc8c-96d861add202,South brush creek,"M. Rodenbeck, J. Turner",Not recorded,Not recorded,2019-08-11T18:00:00Z,2019-08-12T04:41:12Z,mrodenbeck1,2019-08-12T04:41:12Z,41.34403068,-106.526358,cloudy,100,other,Bridge below reach,9.36,7.1,7.7,281.8666667,200,3.33,"other_describe,forested,agricultural",Road,yes,yes,yes,100,NA,NA,notdectected,6,NA,0,3,NA,0,yes,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,1,visual estimate,NA,3,visual estimate,2.5,NA,1.5,NA,0,2,1,NA,NA,notdectected,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,2-10%,<2%,no,NA,11,12,17,15,0,0,0,0,0,4,8,11,notdetected,notdetected,NA,2,NA,westmountains,NA,NA,USGS6622900,WYWM1537,2021-08-05T23:09:55Z
FlowDuration004,d26c6b61-c75f-4d91-9300-1f991022985c,Rock creek,"M. Rodenbeck, J. Turner",Not recorded,Not recorded,2019-08-11T18:00:00Z,2019-08-12T04:41:21Z,mrodenbeck1,2019-08-12T04:41:21Z,41.57690941,-106.229838,intermittentrain,NA,NA,None,11.7,11.6,10.3,392,200,2,NA,NA,NA,NA,NA,100,NA,NA,notdectected,6,NA,0,3,NA,3,yes,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,1,visual estimate,NA,3,visual estimate,2,NA,1.5,NA,1,3,3,no,NA,notdectected,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,>40%,notdetected,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2-10%,notdetected,NA,2,NA,westmountains,NA,NA,USGS6632400,WYWM1534,2021-08-05T23:09:55Z
FlowDuration004,f98fa446-9b93-43a4-9bdf-48869944a1db,Carlson creek,"M. Rodenbeck, J. Turner",Not recorded,Not recorded,2019-08-11T18:00:00Z,2019-08-12T04:41:31Z,mrodenbeck1,2019-08-12T04:41:31Z,41.49710661,-106.2779869,cloudy,30,NA,None,5.3,2.2,4.85,144.0833333,164,4.2,"forested,other_describe","Recreation, camping",yes,yes,yes,100,NA,NA,notdectected,6,NA,0,3,NA,1,yes,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,1,visual estimate,NA,3,visual estimate,2,NA,1.5,NA,1,2,3,NA,NA,notdectected,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,>40%,notdetected,NA,NA,15,14,10,10,3,4,7,6,5,11,13,9,>10%,notdetected,NA,2,NA,westmountains,NA,NA,USGS632050,WYWM1535,2021-08-05T23:09:55Z
FlowDuration004,7677f32a-5b00-4979-85bf-12edfdf58f6c,Boxelder Creek,"M. Rodenbeck, J. Turner",Not recorded,Not recorded,2019-08-10T22:30:00Z,2019-08-12T04:41:42Z,mrodenbeck1,2021-02-25T23:49:53Z,42.59800937,-105.8865502,intermittentrain,NA,NA,NA,3.6,1.7,0.65,69.41666667,79,3.19,"other_natural,forested",NA,yes,yes,yes,100,NA,NA,notdectected,6,NA,3,2,NA,5,yes,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,3,visual estimate,NA,2.25,visual estimate,2.5,NA,0,NA,2,3,3,no,NA,present,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,>40%,notdetected,NA,NA,8,8,10,8,0,4,15,13,0,0,0,0,2-10%,<2%,NA,2.5,NA,westmountains,NA,NA,WYM1530,WYWM1530,2021-08-05T23:09:55Z
FlowDuration004,c07fe7fd-f1db-422c-98fb-8648be6493ca,Michigan ditch 1,"M.Rodenbeck, J. Turner",Not recorded,Not recorded,2019-08-13T18:00:00Z,2019-08-15T05:12:08Z,mrodenbeck1,2019-08-15T05:12:08Z,40.51453575,-105.8839342,cloudy,40,"diversions,steammods",Downstream diversion,1.2,1.3,1.1,42,48,23.5,"developed,forested",Recreation,yes,yes,no,100,NA,NA,present,6,NA,0,3,NA,0,yes,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,1,visual estimate,NA,0.75,visual estimate,3,NA,3,NA,0,3,0,NA,NA,notdectected,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,notdetected,notdetected,NA,NA,2,14,6,14,10,4,16,16,14,16,3,12,notdetected,notdetected,NA,2,NA,westmountains,NA,NA,KAMPF09,COWM0973,2021-08-05T23:09:55Z
FlowDuration004,c2c849c7-214d-45e5-a228-f81fbb08543a,Elkhorn creek,"M.Rodenbeck, J. Turner",Not recorded,Not recorded,2019-08-13T18:00:00Z,2019-08-15T05:13:00Z,mrodenbeck1,2019-08-15T05:13:00Z,40.69786259,-105.4410315,clearsunny,NA,other,Bridge with cement channel 5 m below reach,6.4,4.15,4.1,170.9166667,195,3.43,"forested,other_natural",NA,yes,yes,yes,100,NA,NA,notdectected,6,NA,0,3,NA,1,yes,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,2,visual estimate,NA,1.5,visual estimate,3,NA,3,NA,1,3,3,no,NA,notdectected,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,>40%,notdetected,NA,NA,15,11,13,12,15,16,14,15,5,11,2,0,>10%,notdetected,NA,2,NA,westmountains,NA,NA,PC14,COWM0852,2021-08-05T23:09:55Z
FlowDuration004,4f0009a8-27b8-4504-b56f-bb17f11388b4,Hill gulch,"M. Rodenbeck, J. Turner",Not recorded,Not recorded,2019-08-12T18:00:00Z,2019-08-15T05:13:35Z,mrodenbeck1,2019-08-15T05:13:35Z,40.68575523,-105.3035946,cloudy,5,other,"Bridge below reach,",2.17,3.47,3.56,107.3333333,67,2,"urban,forested",private property-gained permission from owner Jeanie Christopherson,yes,yes,yes,100,NA,NA,notdectected,6,NA,3,2,NA,0,yes,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,1,visual estimate,NA,1.5,visual estimate,2.5,NA,2.25,NA,0,3,0,NA,NA,notdectected,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,notdetected,notdetected,NA,NA,17,15,17,16,16,17,17,17,17,17,17,17,notdetected,notdetected,NA,2,NA,westmountains,NA,NA,NA,COWM0873,2021-08-05T23:09:55Z
FlowDuration004,c96a2d4d-8554-47c3-a2f1-5ee22bcf0bbc,Boyd gulch,"M. Rodenbeck, J.Turner",Not recorded,Not recorded,2019-08-12T18:00:00Z,2019-08-15T05:14:30Z,mrodenbeck1,2019-08-15T05:14:30Z,40.69291593,-105.2654521,clearsunny,NA,"other,discharges","Culvert below reach under paved road, dirt road along reach within 5 meters, plastic pipes in channel, rubber sheet in channel,culvert above reach at 50 m, metal and wood footbridge in reach",1.5,1.25,1.4,48.41666667,50,7.3,"urban,forested,other_describe",Recreation,yes,yes,yes,70,30,0,notdectected,5,NA,0,3,NA,0,yes,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,1.5,visual estimate,NA,2.25,visual estimate,2.5,NA,0.75,NA,0,1,0,NA,NA,notdectected,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,notdetected,notdetected,NA,NA,10,12,14,15,17,16,17,16,17,17,17,17,notdetected,notdetected,NA,2,NA,westmountains,NA,NA,NA,COWM0861,2021-08-05T23:09:55Z
FlowDuration004,17cd3dce-3ce9-4c74-a866-7ae152ace663,Onion C Trib No2 NR Soda,KT AR,Not recorded,Not recorded,2019-08-28T19:00:00Z,2019-08-28T22:56:32Z,NA,2019-08-28T22:56:32Z,39.27453686,-120.3667778,clearsunny,NA,"steammods,discharges",Dam with discharge pipes at upstream end of reach below the gauge (see photos),2,1,NA,NA,30,NA,forested,NA,yes,no,no,100,NA,NA,notdectected,4.5,NA,0,NA,NA,3,yes,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,1.5,visual estimate,NA,1.5,visual estimate,3,NA,2,NA,2.5,3,3,no,NA,present,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,>40%,notdetected,NA,NA,4,7,10,13,16,16,6,15,8,10,11,15,notdetected,notdetected,NA,1,NA,westmountains,NA,NA,USGS11426130,CAWM0588,2021-08-05T23:09:55Z
FlowDuration004,af9cbbeb-da8b-4613-982a-8c87b5c89f96,Packsaddle canyon c nr  fairview CA,Kelsey savannah,Not recorded,Not recorded,2019-09-01T19:00:00Z,2019-09-02T17:20:10Z,john7481,2019-09-02T17:20:10Z,35.94418456,-118.4752261,clearsunny,NA,NA,NA,5.3,5.5,3.4,165.6666667,200,12,"forested,other_describe",Water pumping plant 100m down stream next to paved road,yes,yes,no,0,0,5,notdectected,1,NA,0,3,NA,1,yes,NA,1.5,NA,0,NA,dry,dry,saturated,sand,sand,sand,1,visual estimate,NA,0.5,visual estimate,2.5,NA,2,NA,0,1.5,3,NA,NA,notdectected,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,<2%,2-10%,no,NA,16,6,12,3,0,0,4,1,2,0,2,0,notdetected,2-10%,"Lots of acrocarps near streambed, but  none in channel",1.5,NA,westmountains,NA,NA,usgs11185600,CAWM0736,2021-08-05T23:09:55Z
FlowDuration004,f238494b-0251-4bff-be45-9c58a388cbf1,ND Stevenson C A Perimeter rd. NR big C Ca,Kelsey & Savannah,Not recorded,Not recorded,2019-09-03T19:00:00Z,2019-09-04T04:05:16Z,john7481,2019-09-04T04:05:16Z,37.1358884,-119.2558501,clearsunny,NA,"steammods,diversions",Small cement block with 12 in passage,2.5,5.2,5.4,152.8333333,200,4,"developed,other_describe,other_natural","Gravel road with wooden bridge running over stream. Some sort of momotoring box, metal built in hand rails.",no,no,no,100,NA,NA,notdectected,6,NA,0,0,"No soils on bank (bedrock), except depositional sand",0,yes,NA,2,NA,0.5,NA,NA,NA,NA,NA,NA,NA,1,Visial,NA,1,visual estimate,2,NA,1.5,NA,2,3,3,no,NA,present,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,See pictures for possible evidence of oxidizing fungi,10-40%,<2%,no,NA,6,9,10,10,2,12,6,6,5,12,2,13,<2%,notdetected,NA,1,NA,westmountains,NA,NA,USGS11239300,CAWM0718,2021-08-05T23:09:55Z
FlowDuration004,89a5b7c0-9616-4364-95a6-de801fc8e4bd,NF Kings REL dinkey C near Balch camp Ca,Kelsey & Savannah,Not recorded,Not recorded,2019-09-02T19:00:00Z,2019-09-04T04:05:29Z,john7481,2019-09-04T04:28:23Z,36.87977786,-119.1300824,cloudy,10,NA,None,13.6,16,14.8,518,200,2,"other_describe,other_natural",Paved roads running parallel to stream,yes,yes,yes,100,NA,NA,notdectected,6,NA,0,0,Bed rock or large cobble with some sand throughout reach,0,yes,NA,0.5,NA,1.5,NA,NA,NA,NA,NA,NA,NA,0,visual estimate,NA,1.5,visual estimate,2.5,NA,1.5,NA,2,3,2,no,NA,notdectected,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,1 crawfish detected,>40%,2-10%,no,NA,0,0,0,0,4,11,13,14,3,17,9,9,2-10%,notdetected,NA,2.5,NA,westmountains,NA,NA,USGS11218400,CAWM0724,2021-08-05T23:09:55Z
FlowDuration004,6162f393-6bbd-4a6a-a3e3-f1d022c10485,"Dagget CK NR Genora, NV","AR, KT",Not recorded,Not recorded,2019-08-29T19:00:00Z,2019-09-04T18:11:31Z,NA,2019-09-04T18:11:31Z,38.96470401,-119.8489019,clearsunny,NA,NA,Road alongside creek,1,1.1,1,36.16666667,36.16666667,12,urban,NA,NA,yes,no,100,NA,NA,notdectected,6,NA,0,3,NA,0,yes,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,1,visual estimate,NA,0.5,visual estimate,3,NA,2.5,NA,0,3,0,NA,NA,notdectected,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,notdetected,notdetected,NA,NA,17,16,17,17,17,17,17,17,16,15,3,3,notdetected,notdetected,NA,3,NA,aridwest,NA,NA,USGS10310400,NVWM1255,2021-08-05T23:09:55Z
FlowDuration004,fab5ee74-1dbb-4ae1-97f6-6ae088766aad,Forest C Nr Wilseyville Ca,Kelsey & Savannah,Not recorded,Not recorded,2019-09-05T19:00:00Z,2019-09-06T04:10:03Z,NA,2019-09-06T04:10:03Z,38.40383696,-120.4455768,cloudy,15,NA,NA,8.6,5.1,6.8,239.1666667,200,12,"agricultural,other_describe",Potentially land used for grazing (indicated by old barbed wire fence. Hunting evidence from rifle casings,yes,yes,yes,100,NA,NA,notdectected,6,NA,0,1,NA,0,NA,NA,1.5,NA,0,NA,NA,NA,NA,NA,NA,NA,2,visual estimate,NA,1.5,visual estimate,3,NA,1.5,NA,0,3,2,NA,NA,notdectected,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,2-10%,notdetected,NA,NA,15,17,17,17,17,17,17,17,17,17,15,17,2-10%,notdetected,NA,2,NA,westmountains,NA,NA,USGS11316800,CAWM0652,2021-08-05T23:09:55Z
FlowDuration004,cac9ca19-997c-411d-8982-3f6f5b5a5d9b,Big C Ab Whites Gulch Nr Groveland Ca,Kelsey & Savannah,Not recorded,Not recorded,2019-09-04T19:00:00Z,2019-09-06T04:10:31Z,NA,2019-09-06T04:10:31Z,37.84136725,-120.185614,cloudy,20,NA,NA,2,3.2,4.5,113.1666667,120,3,"urban,forested","Cabins and trails along stream, gravel road along stream, paved road and bridge over stream",yes,yes,yes,100,NA,NA,notdectected,5,NA,0,0,"No soils, mostly bedrock with sand/pebbles",0,yes,NA,2.5,NA,0,NA,NA,NA,NA,NA,NA,NA,1,visual estimate,NA,1.5,visual estimate,1.5,NA,2,NA,2,3,3,no,NA,present,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,Lots of crawdads (2-4 in every pool) sizes ranged from 1 cm to 4cm,10-40%,notdetected,NA,NA,7,9,11,4,4,1,3,2,0,0,0,2,2-10%,2-10%,NA,2.5,NA,westmountains,NA,NA,USGS11284400,CAWM0684,2021-08-05T23:09:55Z
FlowDuration004,2fef0481-c3a9-47dc-90c1-ef2a19e2212b,Cascade C NR Pinecrest CA,Kelsey & Savannah,Not recorded,Not recorded,2019-09-04T19:00:00Z,2019-09-06T04:10:49Z,NA,2019-09-06T04:10:49Z,38.27936409,-119.9702814,clearsunny,NA,diversions,Culvert at the downstream end,0.8,1.8,4.2,79.33333333,120,1,"urban,forested","Cabins by stream, paved road over stream, dirt roads parallel to stream",yes,no,yes,35,50,2,present,4,NA,0,2,NA,0,yes,NA,2,NA,0,NA,NA,NA,NA,NA,NA,NA,1,visual estimate,NA,1.5,Survey,1,NA,3,NA,0,2,2,NA,NA,present,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,2-10%,notdetected,NA,NA,16,8,13,10,17,17,17,16,17,17,17,17,2-10%,notdetected,NA,1,NA,westmountains,NA,NA,USGS11292680,CAWM0657,2021-08-05T23:09:55Z
FlowDuration004,b6224c76-fd28-40e6-aa68-78f21457286b,Long gulch at FR1n13,Kelsey & Savannah,Not recorded,Not recorded,2019-09-06T19:00:00Z,2019-09-07T03:02:19Z,NA,2019-09-07T03:02:19Z,40.40778388,-123.283211,clearsunny,NA,steammods,"Approx 5m diameter, 23m long culvert at upstream section of reach",3.2,0.6,1.05,56.58333333,90,2,"agricultural,forested","Cow grazing evidence, possible cannabis ag upstream",no,no,yes,0,0,0,notdectected,0,NA,0,2,NA,0,yes,NA,3,NA,0,NA,dry,dry,dry,loamysand,loamysand,loamysand,0.5,visual estimate,NA,3,visual estimate,1,NA,2.5,NA,0,1,0,NA,NA,notdectected,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,notdetected,notdetected,NA,NA,14,13,17,17,16,17,17,17,16,17,17,17,>10%,notdetected,NA,1,NA,westmountains,NA,NA,Long_gulch,CAWM0523,2021-08-05T23:09:55Z
FlowDuration004,12cfe0f7-37cc-442b-9980-a3d7a92e2935,Trib to North Post Ck,Kelsey & Savannah,Not recorded,Not recorded,2019-09-06T19:00:00Z,2019-09-07T03:03:17Z,NA,2019-09-07T03:03:17Z,40.42881796,-123.2740527,clearsunny,NA,NA,NA,1.8,2.4,2.1,73.5,73.5,5,"agricultural,forested","Cannabis cultivation possibly upstream, cattle evidenced by feces and trails.",yes,yes,yes,0,0,0,notdectected,0,NA,0,3,NA,0,yes,NA,0,NA,1,NA,dry,dry,dry,sand,sand,loamysand,1.5,visual estimate,"Very small channel, slight bends evry few meters",1.5,visual estimate,3,NA,1,NA,0,2,0,NA,NA,notdectected,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,notdetected,notdetected,NA,NA,17,17,17,17,17,17,17,17,17,17,3,12,>10%,notdetected,NA,1,NA,westmountains,NA,NA,TribNPost,CAWM0522,2021-08-05T23:09:55Z
FlowDuration004,93875b9d-4be9-4e08-835d-295202ffad39,10 mile ck nr,Kelsey & Savannah,Not recorded,Not recorded,2019-09-08T19:00:00Z,2019-09-09T16:22:12Z,NA,2019-09-09T16:22:12Z,39.68837613,-123.4925102,clearsunny,NA,"other,diversions",Possible Pumping and dumping (see pictures),3.4,6.2,7.8,203,200,1,"urban,forested","Homes nearby, bridge up stream with paved road",yes,yes,yes,100,NA,NA,notdectected,4,NA,0,2,NA,2,yes,3 seperate logs across channel in seperate areas,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,visual estimate,NA,2,visual estimate,1,NA,3,NA,3,2,3,no,NA,present,notdectected,NA,notdectected,NA,notdectected,NA,present,Frogs prsent,>40%,notdetected,NA,NA,17,17,17,17,17,17,17,17,17,17,14,15,<2%,notdetected,Lichen is minimal,1.5,NA,westmountains,"Location on app is incorrect, see data sheet or savs screen shots for actual coordinates",NA,NA,CAWM0549,2021-08-05T23:09:55Z
FlowDuration004,b562bacc-aa9b-418e-bb0d-5e11a8a2b534,Stotenburg ck,Kelsey & Savannah,Not recorded,Not recorded,2019-09-07T19:00:00Z,2019-09-09T16:22:21Z,NA,2019-09-09T16:22:21Z,41.88687781,-124.144242,cloudy,100,NA,NA,2.2,2.4,2.5,82.83333333,90,2,"urban,agricultural,other_natural","Houses nearby across from paved road. Stream runs parallel to road about 30m away. Grazing lands for dairy cows, stream is forested, but pastures surround.",yes,yes,yes,0,0,0,notdectected,0,NA,0,3,NA,10,yes,Woody jams throughout reach,0,NA,1.5,NA,partiallydry,partiallydry,partiallydry,sandyloam,sandyloam,siltloam,2,visual estimate,NA,3,visual estimate,0.5,NA,0,NA,0,0,1,NA,NA,present,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,<2%,notdetected,NA,NA,17,17,17,17,17,17,17,17,17,17,17,17,>10%,notdetected,See pictures for liverwart/lichen for confirmation,3,NA,westmountains,NA,NA,StotenburgCreek,CAWM0478,2021-08-05T23:09:55Z
FlowDuration004,1b1cb449-1fa2-498a-8cb0-2fbb4df6b658,Calf ck,Kelsey & savannah,Not recorded,Not recorded,2019-09-08T19:00:00Z,2019-09-09T16:22:27Z,NA,2019-09-09T16:22:27Z,40.35184178,-123.9773426,cloudy,75,NA,Culvert ~50m under paved road upstream of reach,2.3,3.3,3.1,101.5,90,4,"other_describe,forested",Paved road crossing stream upstream of reach,no,yes,yes,0,0,0,notdectected,0,NA,0,3,NA,2,yes,NA,2.5,NA,0.5,NA,partiallydry,partiallydry,partiallydry,sandyloam,sandyloam,sandyloam,2,visual estimate,NA,1,visual estimate,2.5,NA,2,NA,0,1,0,NA,NA,notdectected,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,notdetected,notdetected,NA,NA,17,17,17,17,17,17,17,17,17,17,17,17,2-10%,notdetected,NA,0,NA,westmountains,NA,NA,CalfCk,CAWM0525,2021-08-05T23:09:55Z
FlowDuration004,16894bf5-b3d9-4d40-ba70-037cd685382b,Morrison ck,Kelsey & Savannah,Not recorded,Not recorded,2019-09-07T19:00:00Z,2019-09-09T16:22:36Z,NA,2019-09-09T16:22:36Z,41.90430412,-124.1543291,cloudy,100,discharges,Ruboff from pasture lands,4.1,2,2.6,101.5,120,3,"agricultural,other_natural",Dairy farm pastures on all sides of reach,yes,yes,yes,0,12,4,notdectected,3,NA,3,3,NA,3,yes,NA,1.5,NA,1,NA,partiallydry,partiallydry,partiallydry,clayloam,clayloam,clayloam,2,visual estimate,NA,2,visual estimate,2,NA,1.5,"Riffle areas have small (<5cm) pebbles, pools are silty, banks r more silty than pebbly",1,1,0,no,"Very tiny fish, difficult to distinguish type",notdectected,notdectected,NA,notdectected,NA,present,Greater than 10 frogs,present,At least 2 different species of slugs,notdetected,notdetected,NA,NA,17,17,17,16,17,17,17,17,17,17,17,17,<2%,notdetected,NA,3,NA,westmountains,Beaver dam just after downstream point,NA,NA,CAWM0477,2021-08-05T23:09:55Z
Baseline,bf913270-9599-4dbc-a778-860d677df696,NEWMAN CANYON ABOVE UPPER LAKE MARY_ AZ,Jess and Kat,JT,KN,2020-06-24T19:00:00Z,2020-06-29T00:38:48Z,NA,2020-06-29T00:38:48Z,35.05494,-111.48922,clearsunny,NA,NA,NA,1.9,1.95,2,78,78,4,forested,NA,yes,no,yes,0,0,1,notdectected,0,NA,0,2,"Location 3, to many rocks to get 6"" deep",0,yes,NA,2,NA,0,NA,dry,dry,dry,clayloam,clayloam,clayloam,1,visual estimate,NA,1.5,visual estimate,2,NA,0,All rocky,0,2,0,NA,High number of crawdads,notdectected,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,notdetected,notdetected,NA,NA,10,17,13,12,1,16,17,10,0,3,4,3,notdetected,notdetected,NA,2,NA,WMVC,There was no water at the logger so temp and conductivity could not he recorded,NA,AZWM0114,AZWM0114,2021-08-05T23:09:55Z
Baseline,49c485c8-2684-4cad-9c99-a4a53f92526f,MILK CREEK,Jess and Kat,JT,KN,2020-06-30T19:00:00Z,2020-07-01T13:55:03Z,NA,2021-02-09T03:07:14Z,33.94528079,-109.1547813,steadyrain,NA,other,Near farm,0.6,0.65,1.2,32.66666667,32.66666667,1.5,"forested,other_describe",Fence and near farm,yes,yes,no,100,NA,NA,notdectected,6,NA,3,2,NA,0,yes,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,2,visual estimate,NA,1.5,visual estimate,2.5,NA,3,NA,1,2,0,no,NA,notdectected,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,notdetected,notdetected,NA,NA,12,13,10,3,17,17,17,17,17,17,17,17,notdetected,<2%,NA,3,NA,NA,NA,NA,AZWM0123,AZWM0123,2021-08-05T23:09:55Z
Baseline,ea460102-636d-4851-bbae-ff36dafc0b20,NUTRIOSO CREEK ABV NELSON RES NR SPRINGERVILLE AZ,Jess and Kat,JT,KN,2020-06-30T17:19:07Z,2020-07-01T13:55:39Z,NA,2020-07-01T13:55:39Z,34.02952879,-109.1860292,clearsunny,NA,NA,NA,0.8,1.3,1.2,44,44,1.5,urban,Roads,yes,yes,no,100,NA,NA,notdectected,6,NA,0,3,NA,0,no,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,1,visual estimate,NA,1.5,visual estimate,2,NA,0.75,NA,3,2,0,no,Photo in additional photos,notdectected,present,1,notdectected,NA,notdectected,NA,notdectected,NA,notdetected,notdetected,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,notdetected,notdetected,NA,2,NA,WMVC,NA,NA,AZWM0121,AZWM0121,2021-08-05T23:09:55Z
